## GRBname 	 Trig_ID 	 15_150kev 	 Exposure_time 	bestmodel
GRB151114A	663490	 N/A 	 N/A 	
GRB151112A	663179	 N/A 	 N/A 	
GRB151111A	663074	 N/A 	 N/A 	
GRB151107A	662757	 N/A 	 N/A 	
GRB151031A	662330	3.37E-07	6	
GRB151029A	662086	4.37E-07	13.22	
GRB151027B	661869	1.47E-06	96	
GRB151027A	661775	7.29E-06	164.1	
GRB151023A	661253	2.66E-07	13.15	
GRB151022A	661036	1.19E-06	133.9	
GRB151021A	660671	2.74E-05	149	
GRB151006A	657750	7.22E-06	316.1	
GRB151004A	657564	1.01E-06	148	
GRB151001B	657321	1.58E-06	158.6	
GRB151001A	657286	6.94E-07	14.06	
GRB150925A	656604	1.37E-06	146.1	
GRB150915A	655721	7.38E-07	176	
GRB150911A	655262	2.22E-06	10.65	
GRB150910A	655097	4.77E-06	151.3	
GRB150907B	654803	1.24E-06	66	
GRB150901A	654042	4.55E-07	80	
GRB150831B	653978	1.38E-06	7.424	
GRB150831A	653838	3.62E-07	1.052	
GRB150821A	652847	8.44E-07	156.5	
GRB150819A	652643	4.70E-07	59.44	
GRB150818A	652603	4.26E-06	201.3	
GRB150817A	652334	5.94E-06	75.5	
GRB150811A	651882	4.82E-07	37.68	
GRB150801B	650977	2.95E-06	464.1	
GRB150728A	650617	3.26E-08	0.96	
GRB150727A	650530	3.61E-06	104.6	
GRB150724A	650141	2.13E-06	326.5	
GRB150722A	649916	5.95E-07	72.08	
GRB150720A	649706	7.75E-07	305.5	
GRB150716A	649157	1.48E-06	51.34	
GRB150711A	648601	4.27E-06	104.3	
GRB150710B	84694006	3.83E-06	33.4	
GRB150710A	648437	7.09E-08	0.208	
GRB150626B	646786	1.04E-06	48	
GRB150626A	646603	1.37E-06	121.7	
GRB150616A	644259	1.96E-05	753.9	
GRB150615A	643833	6.06E-07	39.34	
GRB150607A	642620	2.39E-06	28.13	
GRB150530B	84922008	1.73E-07	3	
GRB150530A	642018	1.77E-06	8.064	
GRB150527A	641698	3.21E-06	124	
GRB150513A	640584	5.64E-06	183.7	
GRB150430A	639433	6.73E-06	119.6	
GRB150428B	639278	3.81E-06	161.8	
GRB150428A	639275	6.32E-06	77.58	
GRB150424A	638946	1.50E-06	95.07	
GRB150423A	638808	6.57E-08	0.232	
GRB150413A	637899	4.27E-06	281	
GRB150407A	637342	 N/A 	 N/A 	
GRB150403A	637044	1.71E-05	228.5	
GRB150402A	636865000	1.45E-07	8.07	
GRB150323C	636005	1.33E-06	189.8	
GRB150323B	635929	3.03E-06	10.11	
GRB150323A	635887	5.60E-06	192.9	
GRB150318A	635289	2.45E-06	119.5	
GRB150317A	635148	6.48E-07	24.43	
GRB150314A	634795	2.25E-05	103.6	
GRB150309A	634200	1.78E-05	316.4	
GRB150302A	633237	2.57E-07	29.38	
GRB150301B	633180	1.98E-06	24.98	
GRB150301A	632995	7.36E-08	0.56	
GRB150222A	632180	2.17E-06	28.05	
GRB150213B	631051	3.21E-06	287	
GRB150212A	630876	9.00E-07	19.78	
GRB150211A	630714	6.60E-06	20.8	
GRB150206A	630019	1.48E-05	411.9	
GRB150204A	84702002	8.79E-07	19	
GRB150203A	629578	9.36E-07	29.53	
GRB150202A	629547	6.24E-07	28.29	
GRB150201A	629302	7.78E-07	30.03	
GRB150120B	627170	5.34E-07	28.18	
GRB150120A	627137	1.44E-07	1.356	
GRB150110B	624606	4.92E-07	11.71	
GRB150103A	623368	9.53E-07	58.62	
GRB150101B	91964035	1.41E-09	0.016	
GRB150101A	623158	3.18E-09	0.068	
GRB141229A	85478004	 N/A 	 N/A 	
GRB141225A	622476	2.81E-06	124.9	
GRB141221A	622006	2.11E-06	44.44	
GRB141220A	621915	2.61E-06	8.204	
GRB141212B	621234	1.19E-06	12.2	
GRB141212A	621229	7.25E-08	0.336	
GRB141205A	620534	1.22E-07	2.624	
GRB141130A	620090	2.77E-06	82.76	
GRB141121A	619182	4.32E-06	552.7	
GRB141109B	618032	8.23E-07	227.2	
GRB141109A	618024	6.66E-06	322.6	
GRB141102A	617316	 N/A 	 N/A 	
GRB141031B	617149	2.48E-07	17.26	
GRB141031A	617110	3.45E-06	910.7	
GRB141026A	616502	1.29E-06	166.9	
GRB141022A	616061	4.75E-07	9.556	
GRB141020A	615873	4.63E-07	18.84	
GRB141017A	615672	3.10E-06	66.8	
GRB141015A	615399	1.59E-07	13	
GRB141005A	614415	1.09E-06	4.176	
GRB141004A	614390	6.68E-07	6.188	
GRB140930B	614094	4.24E-07	0.956	
GRB140927A	613775	2.68E-07	8.268	
GRB140919A	613160	6.19E-06	173.1	
GRB140916A	612804	1.50E-06	79.97	
GRB140909A	612132	 N/A 	 N/A 	
