## GRBname 	 Trig_ID 	 Exposure_time 	 15_150kev
GRB140408A	595141	4.128	0.000000326
GRB140402A	594308	1.408	5.45E-08
GRB140331A	594081	249.1	0.000000713
GRB140323A	592916	135.7	0.0000157
GRB140320A	592544	0.64	5.24E-08
GRB140318A	592204	9.432	0.000000285
GRB140311B	591392	3.065	0.000000221
GRB140311A	591390	76.67	0.0000021
GRB140304A	590206	17.31	1.10E-06
GRB140302A	589685	116.2	0.00000275
GRB140301A	589590	40.8	0.000000455
GRB140215A	586680	37.33	0.00000724
GRB140213A	586569	87.74	0.000012
GRB140211A	586289	141	0.00000188
GRB140209A	586071	27.47	0.00000415
GRB140206A	585834	294.4	1.64E-05
GRB140129B	585149	1.512	7.08E-08
GRB140129A	585128	3	0.000000128
GRB140118A	584136	103	0.00000256
GRB140114A	583861	183.1	0.0000032
GRB140108A	583338	128.2	0.00000714
GRB140102A	582760	131.4	0.00000762
GRB131229A	582374	96	0.00000689
GRB131227A	582184	20.42	0.000000841
GRB131226A	582123	8.96	0.00000402
GRB131224B	32923023	9.616	0.000000259
GRB131205A	580267	20.76	0.000000189
GRB131202A	579982	37.26	0.000000606
GRB131128A	579683	3	0.000000317
GRB131127A	579571	111.6	0.00000199
GRB131120A	578227	135.4	0.000000609
GRB131117A	577968	12.42	0.000000298
GRB131110A	20326002	84.8	0.00000344
GRB131103A	576562	18.54	0.000000812
GRB131030A	576238	148.9	0.0000291
GRB131024B	575754	109.3	0.00000146
GRB131024A	575707	128	0.00000121
GRB131018A	574935	96.64	0.00000109
GRB131004A	573190	2.048	0.000000276
GRB131002B	572742	63	0.000000787
GRB131002A	572721	59.95	0.00000056
GRB131001A	82217006	6	5.16E-07
GRB130929A	572308	14.34	0.000000708
GRB130925A	571830	963	0.0000403
GRB130919A	571271	128.2	1.36E-06
GRB130913A	570531	10.02	0.000000126
GRB130912A	570465	0.316	0.000000175
GRB130907A	569992	839.5	0.000136
GRB130831B	568855	44.46	0.00000146
GRB130831A	568849	43.23	0.0000065
GRB130829A	568417	64.04	0.00000127
GRB130822A	567163	0.048	1.22E-08
GRB130816B	566561	11.4	0.000000287
GRB130816A	566545	30.64	0.000000427
