## GRBname 	 Trig_ID 	 15_150kev(PL) 	 Exposure_time 	bestmodel	 15_150kev(CPL) 	 15_150kev
GRB170724A	764204	1.08E-06	109.2	 PL	0	0.00000108
GRB170714A	762535	2.87E-06	538.6	 PL	0	0.00000287
GRB170711A	761622	1.40E-06	46.99	 PL	0	0.0000014
GRB170710B	86619001	2.38E-06	59.2	 PL	0	0.00000238
GRB170710A	761119	7.65E-07	36.62	 PL	0	0.000000765
GRB170705A	760064	9.22E-06	310	 PL	0	0.00000922
GRB170629A	759159	2.61E-06	40.53	 PL	0	0.00000261
GRB170626A	758766	0.00E+00	39.27	 CPL	8.19E-06	8.18881E-06
GRB170607A	756284	7.63E-06	352	 PL	0	0.00000763
GRB170604A	755867	5.09E-06	30.5	 PL	0	0.00000509
GRB170531B	755354	1.92E-06	181.3	 PL	0	0.00000192
GRB170531A	755343	7.51E-07	39.04	 PL	0	0.000000751
GRB170526A	754549	1.82E-07	8.788	 PL	0	0.000000182
GRB170524A	754322	3.75E-08	0.12	 PL	0	3.75E-08
GRB170519A	753445	1.12E-06	231.5	 PL	0	0.00000112
GRB170516A	753110	9.55E-07	51.07	 PL	0	0.000000955
GRB170419B	748947	1.93E-06	86.95	 PL	0	0.00000193
GRB170419A	748898	2.99E-07	8.96	 PL	0	0.000000299
GRB170405A	745797	3.88E-06	185.8	 PL	0	0.00000388
GRB170331A	744791	1.07E-06	19.94	 PL	0	0.00000107
GRB170330A	744773	5.51E-06	151.8	 PL	0	0.00000551
GRB170325A	34941009	8.58E-08	0.392	 PL	0	8.58E-08
GRB170318B	743086	1.33E-07	1.144	 PL	0	0.000000133
GRB170311A	741965	3.05E-07	10	 PL	0	0.000000305
GRB170307A	741528	1.32E-06	69.89	 PL	0	0.00000132
GRB170306A	741220	8.58E-07	26.32	 PL	0	0.000000858
GRB170208B	737463	0.00E+00	177.5	 CPL	6.11E-06	6.10996E-06
GRB170205A	736843	3.78E-06	47.82	 PL	0	0.00000378
GRB170203A	736432	6.18E-07	49.02	 PL	0	0.000000618
GRB170202A	736407	3.34E-06	76.21	 PL	0	0.00000334
GRB170127B	735331	1.04E-07	0.592	 PL	0	0.000000104
GRB170127A	735326	5.32E-07	73.76	 PL	0	0.000000532
GRB170126A	735188	2.95E-06	11.65	 PL	0	0.00000295
GRB170115A	733103	4.69E-07	49.55	 PL	0	0.000000469
GRB170113A	732526	0.00E+00	23.54	 CPL	6.63E-07	6.63463E-07
GRB170111A	731887	8.16E-07	38.91	 PL	0	0.000000816
GRB170101A	729293	6.28E-06	10.14	 PL	0	0.00000628
GRB161224A	728268	9.72E-07	52.72	 PL	0	0.000000972
GRB161219B	727541	1.54E-06	8.912	 PL	0	0.00000154
GRB161218A	727288	0.00E+00	15.9	 CPL	6.98E-06	6.9834E-06
GRB161217A	727167	1.98E-07	15.88	 PL	0	0.000000198
GRB161214B	726885	2.05E-06	31.25	 PL	0	0.00000205
GRB161202A	725036	8.68E-06	129.2	 PL	0	0.00000868
GRB161129A	724438	3.59E-06	44.53	 PL	0	0.00000359
GRB161117B	722642	0.00E+00	163.9	 CPL	5.64E-06	5.6387E-06
GRB161117A	722604	0.00E+00	160.4	 CPL	2.02E-05	2.02174E-05
GRB161113A	722063	1.54E-06	58.72	 PL	0	0.00000154
GRB161108A	721234	1.10E-06	128.7	 PL	0	0.0000011
GRB161105A	720697	6.16E-06	248.1	 PL	0	0.00000616
GRB161104A	720568	4.25E-08	0.116	 PL	0	4.25E-08
GRB161022A	718655	7.41E-07	7.68	 PL	0	0.000000741
GRB161017A	718023	5.37E-06	246.7	 PL	0	0.00000537
GRB161014A	717500	2.21E-06	27	 PL	0	0.00000221
GRB161011A	716876	2.30E-07	4.868	 PL	0	0.00000023
GRB161007A	716127	1.32E-06	243	 PL	0	0.00000132
GRB161004B	715246	0.00E+00	32.47	 CPL	8.76E-06	8.76037E-06
GRB161001A	714404	6.89E-07	3.32	 PL	0	0.000000689
GRB160927A	713782	1.40E-07	0.56	 PL	0	0.00000014
GRB160917A	712505	1.22E-06	15.61	 PL	0	0.00000122
GRB160912A	711914	3.66E-06	244.2	 PL	0	0.00000366
GRB160905A	711084	1.55E-05	112	 PL	0	0.0000155
GRB160827A	710050	3.90E-07	19.84	 PL	0	0.00000039
GRB160824A	709765	2.52E-06	112.2	 PL	0	0.00000252
GRB160821A	709351	7.21E-06	117.8	 PL	0	0.00000721
GRB160819A	86022006	7.75E-06	47	 PL	0	0.00000775
GRB160815A	708598	0.00E+00	11.6	 CPL	1.39E-06	1.3935E-06
GRB160804A	707231	0.00E+00	222	 CPL	1.09E-05	1.09266E-05
GRB160801A	706871	1.74E-07	3.172	 PL	0	0.000000174
GRB160726A	706052	2.72E-07	0.784	 PL	0	0.000000272
GRB160716A	704572	1.82E-07	7.16	 PL	0	0.000000182
GRB160714A	704310	6.87E-08	0.372	 PL	0	6.87E-08
GRB160712A	704155	2.61E-06	54.06	 PL	0	0.00000261
GRB160709A	703769	4.55E-07	4.8	 PL	0	0.000000455
GRB160705B	703176	7.26E-07	69.62	 PL	0	0.000000726
GRB160703A	702699	8.97E-06	79.73	 PL	0	0.00000897
GRB160630A	702252	1.26E-06	36.3	 PL	0	0.00000126
GRB160625A	701503	3.31E-06	62.45	 PL	0	0.00000331
GRB160624A	701288	4.29E-08	0.256	 PL	0	4.29E-08
GRB160611A	690598	1.78E-06	44.9	 PL	0	0.00000178
GRB160607A	689597	2.08E-05	58.63	 PL	0	0.0000208
GRB160601A	688452	6.47E-08	0.144	 PL	0	6.47E-08
GRB160525B	687522	3.14E-08	0.316	 PL	0	3.14E-08
GRB160519A	686818	1.17E-06	42.14	 PL	0	0.00000117
GRB160506A	685245	1.53E-06	345.1	 PL	0	0.00000153
GRB160504A	685124	7.76E-07	58.59	 PL	0	0.000000776
GRB160501A	684679	6.12E-07	64	 PL	0	0.000000612
GRB160425A	684098	2.01E-06	320.3	 PL	0	0.00000201
GRB160424A	683906	1.25E-06	8.16	 PL	0	0.00000125
GRB160419A	683383	0.00E+00	13.82	 CPL	3.68E-06	3.67636E-06
GRB160417A	683076	5.96E-07	16.02	 PL	0	0.000000596
GRB160412A	682522	1.94E-06	44.48	 PL	0	0.00000194
GRB160411A	682339	7.82E-08	0.392	 PL	0	7.82E-08
GRB160410A	682269	1.15E-06	128	 PL	0	0.00000115
GRB160327A	680655	1.36E-06	49.22	 PL	0	0.00000136
GRB160325A	680436	7.10E-06	111.1	 PL	0	0.0000071
GRB160321A	680017	5.37E-07	39.98	 PL	0	0.000000537
GRB160314A	679120	2.75E-07	9.348	 PL	0	0.000000275
GRB160303A	677495	1.48E-07	5.408	 PL	0	0.000000148
GRB160228A	676595	1.93E-06	119.6	 PL	0	0.00000193
GRB160227A	676423	0.00E+00	336.4	 CPL	3.12E-06	3.12245E-06
GRB160225A	675998	1.58E-06	164.4	 PL	0	0.00000158
GRB160223A	675361	5.25E-06	188	 PL	0	0.00000525
GRB160220B	674734	0.00E+00	45.06	 CPL	6.96E-06	6.95523E-06
GRB160220A	674670	5.13E-07	9.088	 PL	0	0.000000513
GRB160216A	673978	2.06E-06	12	 PL	0	0.00000206
GRB160203A	672525	9.93E-07	19.7	 PL	0	0.000000993
GRB160131A	672236	2.01E-05	774.5	 PL	0	0.0000201
GRB160127A	671828	3.64E-07	7.14	 PL	0	0.000000364
GRB160123A	671447	3.51E-07	5.048	 PL	0	0.000000351
GRB160121A	671231	6.13E-07	15	 PL	0	0.000000613
GRB160119A	671014	6.90E-06	167.6	 PL	0	0.0000069
GRB160117B	670800	3.38E-07	14.45	 PL	0	0.000000338
GRB160117A	670793	3.18E-06	173	 PL	0	0.00000318
GRB160104A	669319	4.06E-07	18.96	 PL	0	0.000000406
GRB151229A	668689	5.85E-07	2.456	 PL	0	0.000000585
GRB151228B	668641	0.00E+00	64	 CPL	2.32E-06	2.32327E-06
GRB151228A	668543	0.00E+00	0.312	 CPL	7.66E-08	7.65728E-08
GRB151215A	667392	3.08E-07	18.59	 PL	0	0.000000308
GRB151210A	666931	1.48E-06	110	 PL	0	0.00000148
GRB151205B	666378	8.02E-08	1.536	 PL	0	8.02E-08
GRB151205A	666352	1.44E-06	80	 PL	0	0.00000144
GRB151127A	665268	2.33E-08	0.204	 PL	0	2.33E-08
GRB151122A	664653	4.55E-07	10.05	 PL	0	0.000000455
GRB151118A	664078	4.72E-07	30.8	 PL	0	0.000000472
GRB151031A	662330	3.37E-07	6	 PL	0	0.000000337
GRB151027B	661869	1.47E-06	96	 PL	0	0.00000147
GRB151027A	661775	7.29E-06	164.1	 PL	0	0.00000729
GRB151023A	661253	2.66E-07	13.15	 PL	0	0.000000266
GRB151022A	661036	1.19E-06	133.9	 PL	0	0.00000119
GRB151021A	660671	2.74E-05	149	 PL	0	0.0000274
GRB151006A	657750	7.22E-06	316.1	 PL	0	0.00000722
GRB151004A	657564	1.01E-06	148	 PL	0	0.00000101
GRB151001B	657321	1.58E-06	158.6	 PL	0	0.00000158
GRB151001A	657286	6.94E-07	14.06	 PL	0	0.000000694
GRB150925A	656604	1.37E-06	146.1	 PL	0	0.00000137
GRB150915A	655721	7.38E-07	176	 PL	0	0.000000738
GRB150911A	655262	0.00E+00	10.65	 CPL	2.07E-06	2.06595E-06
GRB150910A	655097	4.77E-06	151.3	 PL	0	0.00000477
GRB150907B	654803	1.24E-06	66	 PL	0	0.00000124
GRB150901A	654042	4.55E-07	80	 PL	0	0.000000455
GRB150831B	653978	1.38E-06	7.424	 PL	0	0.00000138
GRB150831A	653838	3.62E-07	1.052	 PL	0	0.000000362
GRB150821A	652847	8.44E-07	156.5	 PL	0	0.000000844
GRB150819A	652643	4.70E-07	59.44	 PL	0	0.00000047
GRB150818A	652603	4.26E-06	201.3	 PL	0	0.00000426
GRB150817A	652334	5.94E-06	75.5	 PL	0	0.00000594
GRB150811A	651882	4.82E-07	37.68	 PL	0	0.000000482
GRB150801B	650977	2.95E-06	464.1	 PL	0	0.00000295
GRB150728A	650617	3.26E-08	0.96	 PL	0	3.26E-08
GRB150724A	650141	2.13E-06	326.5	 PL	0	0.00000213
GRB150722A	649916	5.95E-07	72.08	 PL	0	0.000000595
GRB150720A	649706	7.75E-07	305.5	 PL	0	0.000000775
GRB150716A	649157	1.48E-06	51.34	 PL	0	0.00000148
GRB150710A	648437	7.09E-08	0.208	 PL	0	7.09E-08
GRB150626B	646786	1.04E-06	48	 PL	0	0.00000104
GRB150626A	646603	1.37E-06	121.7	 PL	0	0.00000137
GRB150616A	644259	1.96E-05	753.9	 PL	0	0.0000196
GRB150615A	643833	6.06E-07	39.34	 PL	0	0.000000606
GRB150607A	642620	0.00E+00	28.13	 CPL	2.30E-06	2.29721E-06
GRB150530B	84922008	1.73E-07	3	 PL	0	0.000000173
GRB150530A	642018	1.77E-06	8.064	 PL	0	0.00000177
GRB150527A	641698	3.21E-06	124	 PL	0	0.00000321
GRB150513A	640584	5.64E-06	183.7	 PL	0	0.00000564
GRB150430A	639433	6.73E-06	119.6	 PL	0	0.00000673
GRB150428B	639278	0.00E+00	161.8	 CPL	3.57E-06	3.57033E-06
GRB150428A	639275	6.32E-06	77.58	 PL	0	0.00000632
GRB150413A	637899	4.27E-06	281	 PL	0	0.00000427
GRB150403A	637044	1.71E-05	228.5	 PL	0	0.0000171
GRB150402A	636865000	1.45E-07	8.07	 PL	0	0.000000145
GRB150323C	636005	1.33E-06	189.8	 PL	0	0.00000133
GRB150323B	635929	3.03E-06	10.11	 PL	0	0.00000303
GRB150323A	635887	5.60E-06	192.9	 PL	0	0.0000056
GRB150318A	635289	2.45E-06	119.5	 PL	0	0.00000245
GRB150317A	635148	6.48E-07	24.43	 PL	0	0.000000648
