## GRBname 	 Trig_ID 	 15_150kev 	 Exposure_time 	bestmodel
GRB170711A	761622	1.35E-06	46.99	 PL
GRB170710B	86619001	2.37E-06	59.2	 PL
GRB170710A	761119	7.70E-07	36.62	 PL
GRB170705A	760064	9.28E-06	310	 PL
GRB170629A	759159	2.56E-06	40.53	 PL
GRB170626A	758766	8.19E-06	39.27	 CPL
GRB170607A	756284	7.62E-06	352	 PL
GRB170604A	755867	5.09E-06	30.5	 PL
GRB170531B	755354	1.76E-06	181.3	 PL
GRB170531A	755343	7.50E-07	39.04	 PL
GRB170526A	754549	1.81E-07	8.788	 PL
GRB170524B	753445006	1.60E-06	49.6	 N/A
GRB170524A	754322	3.70E-08	0.12	 PL
GRB170519A	753445	1.09E-06	231.5	 PL
GRB170516A	753110	8.45E-07	51.07	 PL
GRB170428A	750298	2.75E-07	0.3	 N/A
GRB170419B	748947	1.84E-06	86.95	 PL
GRB170419A	748898	 N/A 	8.96	 PL
GRB170405A	745797	3.91E-06	185.8	 PL
GRB170331A	744791	9.67E-07	19.94	 PL
GRB170330A	744773	5.51E-06	151.8	 PL
GRB170325A	34941009	8.57E-08	0.392	 PL
GRB170318B	743086	1.03E-08	1.144	 PL
GRB170318A	743065	3.50E-06	167.9	 N/A
GRB170317A	742866	1.34E-06	18.61	 N/A
GRB170311A	741965	3.02E-07	10	 PL
GRB170307A	741528	1.29E-06	69.89	 PL
GRB170306A	741220	8.37E-07	26.32	 PL
GRB170208B	737463	6.11E-06	177.5	 CPL
GRB170208A	737438	1.53E-06	8.096	 N/A
GRB170206B	737125	2.86E-07	15.94	 N/A
GRB170205A	736843	3.69E-06	47.82	 PL
GRB170203A	736432	6.21E-07	49.02	 PL
GRB170202A	736407	3.26E-06	76.21	 PL
GRB170131A	736107	 N/A 	 N/A 	 N/A
GRB170127B	735331	1.02E-07	0.592	 PL
GRB170127A	735326	5.07E-07	73.76	 PL
GRB170126A	735188	2.90E-06	11.65	 PL
GRB170115A	733103	4.58E-07	49.55	 PL
GRB170113A	732526	6.63E-07	23.54	 CPL
GRB170112A	732188	1.22E-08	0.06	 N/A
GRB170111A	731887	8.18E-07	38.91	 PL
GRB170101A	729293	6.23E-06	10.14	 PL
GRB161224A	728268	8.32E-07	52.72	 PL
GRB161220A	727610	1.73E-07	7.892	 N/A
GRB161219B	727541	 N/A 	8.912	 PL
GRB161218A	727288	6.98E-06	15.9	 CPL
GRB161217A	727167	1.77E-07	15.88	 PL
GRB161214B	726885	1.71E-06	31.25	 PL
GRB161202A	725036	8.50E-06	129.2	 PL
GRB161129A	724438	3.55E-06	44.53	 PL
GRB161117B	722642	5.64E-06	163.9	 CPL
GRB161117A	722604	2.02E-05	160.4	 CPL
GRB161113A	722063	1.53E-06	58.72	 PL
GRB161108A	721234	1.05E-06	128.7	 PL
GRB161105A	720697	6.03E-06	248.1	 PL
GRB161104A	720568	4.21E-08	0.116	 PL
GRB161022A	718655	7.01E-07	7.68	 PL
GRB161017A	718023	5.37E-06	246.7	 PL
GRB161014A	717500	1.04E-06	27	 PL
GRB161011A	716876	2.27E-07	4.868	 PL
GRB161007A	716127	1.28E-06	243	 PL
GRB161004B	715246	8.76E-06	32.47	 CPL
GRB161004A	715084	4.34E-08	1.42	 N/A
GRB161001A	714404	6.80E-07	3.32	 PL
GRB160927A	713782	1.41E-07	0.56	 PL
GRB160917A	712505	1.22E-06	15.61	 PL
GRB160912A	711914	3.56E-06	244.2	 PL
GRB160905A	711084	1.55E-05	112	 PL
GRB160827A	710050	3.30E-07	19.84	 PL
GRB160826A	709907	4.80E-07	57.76	 N/A
GRB160824A	709765	2.53E-06	112.2	 PL
GRB160821B	709357	1.03E-07	0.536	 N/A
GRB160821A	709351	7.19E-06	117.8	 PL
GRB160819A	86022006	7.65E-06	47	 PL
