##GRBname	z	T90	Exposure	fluence	Flux[ph]	Flux[erg]
GRB101213A	0.414	131.12	200	4.99E-06	2.27	1.98E-07
GRB100906A	1.727	114.63	130.7	1.19E-05	10.02	7.95E-07
GRB100902A	4.5	428.83	459.1	3.22E-06	0.96	6.92E-08
GRB100901A	1.408	436.66	460.8	1.95E-06	0.79	5.19E-08
GRB100814A	1.44	177.26	247.8	8.85E-06	2.47	2.74E-07
GRB100728B	2.106	12.08	14.94	1.67E-06	3.47	2.60E-07
GRB100728A	1.567	193.38	412.6	3.73E-05	5	5.28E-07
GRB100704A	3.6	196.88	264.6	5.85E-06	4.3	4.04E-07
GRB100621A	0.542	63.55	210.4	2.06E-05	12.61	9.32E-07
GRB100615A	1.398	38.82	47.45	4.92E-06	5.56	4.01E-07
GRB100513A	4.772	83.5	105	1.43E-06	0.57	4.77E-08
GRB100508A	0.52	49.26	59.91	7.50E-07	0.47	4.22E-08
GRB100425A	1.755	38.97	41.49	4.64E-07	1.37	7.34E-08
GRB100424A	2.465	104	125	1.50E-06	0.33	2.29E-08
GRB100418A	0.624	7.93	9.42	3.46E-07	1.04	5.03E-08
GRB100413A	3.9	192.64	226.5	6.18E-06	0.64	6.85E-08
GRB100316B	1.18	3.84	4.4	1.98E-07	1.34	7.75E-08
GRB100316A	3.155	6.75	7.97	8.22E-07	2.26	1.75E-07
GRB100302A	4.813	17.95	19.65	3.16E-07	0.47	3.79E-08
GRB100219A	4.667	27.57	39.03	4.65E-07	0.4	3.15E-08
GRB100213B	0.604	91.86	117.2	1.22E-06	0.8	5.11E-08
GRB091208B	1.063	14.8	19.5	3.20E-06	14.62	1.11E-06
GRB091127	0.49	6.96	7.57	8.58E-06	45.31	2.99E-06
GRB091109A	3.076	48.03	52.59	1.64E-06	1.23	9.90E-08
GRB091029	2.752	39.18	61.97	2.41E-06	1.72	1.09E-07
GRB091024	1.092	112.28	150.2	5.98E-06	2.06	1.85E-07
GRB091020	1.71	38.92	56.74	3.80E-06	4.18	3.64E-07
GRB091018	0.971	4.37	8.02	1.52E-06	10.38	5.91E-07
GRB090927	1.37	2.16	2.42	1.98E-07	1.9	1.31E-07
GRB090926B	1.24	99.28	152	7.12E-06	3.16	2.71E-07
GRB090814A	0.696	78.06	87.33	1.25E-06	0.54	4.23E-08
GRB090812	2.452	74.5	119.3	5.73E-06	3.55	3.52E-07
GRB090809A	2.737	8.87	9.97	3.65E-07	1.08	8.62E-08
GRB090726	2.71	56.68	65.44	7.86E-07	0.79	5.31E-08
GRB090715B	3	266.4	304	5.65E-06	3.75	3.11E-07
GRB090709A	1.8	88.74	168.8	2.53E-05	7.79	7.24E-07
GRB090618	0.54	113.34	218.6	1.09E-04	1.73	3.13E-06
GRB090530	1.266	40.46	48.55	1.09E-06	3.19	2.66E-07
GRB090529A	2.625	70.44	79.88	1.04E-06	0.69	4.91E-08
GRB090519	3.85	58.04	67.29	1.18E-06	0.57	6.86E-08
GRB090516A	4.109	181.01	233.3	9.21E-06	2.31	1.19E-07
GRB090429B	9.38	5.58	6.94	3.29E-07	1.63	1.14E-07
GRB090424	0.544	49.46	103.2	2.18E-05	69.92	5.81E-06
GRB090423	8.26	10.3	12.41	6.24E-07	1.74	1.24E-07
GRB090418A	1.608	56.3	69.41	4.66E-06	1.9	1.58E-07
GRB090407	1.449	315.47	347	1.14E-06	0.66	6.22E-08
GRB090404	2.87	82.02	129.8	3.12E-06	1.97	1.32E-07
GRB090313	3.374	83.04	96.06	1.51E-06	0.75	5.79E-08
GRB090205	4.65	8.81	9.54	2.03E-07	0.48	2.97E-08
GRB090201	2.1	74.26	86.14	2.89E-05	14.57	1.41E-06
GRB090113	1.749	9.1	10.87	7.75E-07	2.47	2.24E-07
GRB081230	2.03	60.69	76.86	8.59E-07	0.71	5.53E-08
GRB081228	3.44	3	3	9.27E-08	0.62	4.13E-08
GRB081222	2.77	33	65	5.22E-06	7.46	6.45E-07
GRB081221	2.26	33.91	112.6	1.89E-05	17.95	1.50E-06
GRB081210	2.063	145.91	155.8	1.85E-06	2.45	2.10E-07
GRB081203A	2.05	223	474	7.83E-06	2.82	2.46E-07
GRB081121	2.512	17.52	19.76	5.08E-06	4.15	3.63E-07
GRB081118	2.58	53.4	69.95	1.18E-06	0.6	4.37E-08
GRB081109A	0.979	221.49	380.5	4.00E-06	1.41	1.01E-07
GRB081029	3.848	275.1	306.5	2.14E-06	0.45	3.06E-08
GRB081028A	3.038	284.42	367.7	3.95E-06	0.57	4.09E-08
GRB081008	1.968	187.82	261.8	4.25E-06	1.29	1.05E-07
