## GRBname 	 Trig_ID 	 15_150kev 
GRB160504A   	685124	5.75E-08
GRB160501A   	684679	 N/A 
GRB160425A   	684098	2.11E-07
GRB160424A   	683906	4.50E-07
GRB160419A   	683383	7.88E-07
GRB160417A   	683076	7.33E-08
GRB160412A   	682522	1.03E-07
GRB160411A   	682339	1.07E-07
GRB160410A   	682269	3.19E-08
GRB160409A   	682162	 N/A 
GRB160408A   	682059	2.06E-07
GRB160327A   	680655	1.25E-07
GRB160325A   	680436	4.72E-07
GRB160321A   	680017	3.02E-08
GRB160314A   	679120	6.89E-08
GRB160313A   	678929	2.49E-08
GRB160303A   	677495	9.63E-08
GRB160228A   	676595	1.38E-07
GRB160227A   	676423	5.72E-08
GRB160225A   	675998	8.86E-08
GRB160223A   	675361	2.73E-07
GRB160220B   	674734	6.23E-07
GRB160220A   	674670	7.49E-08
GRB160216A   	673978	5.99E-07
GRB160203A   	672525	7.93E-08
GRB160131A   	672236	5.80E-07
GRB160127A   	671828	8.08E-08
GRB160123A   	671447	9.78E-08
GRB160121A   	671231	7.79E-08
GRB160119A   	671014	2.15E-07
GRB160117B   	670800	1.05E-07
GRB160117A   	670793	7.02E-08
GRB160104A   	669319	7.84E-08
GRB151229A   	668689	4.92E-07
GRB151228B   	668641	8.90E-08
GRB151228A   	668543	8.12E-08
GRB151215A   	667392	1.24E-07
GRB151210A   	666931	7.07E-08
GRB151205B   	666378	4.81E-08
GRB151205A   	666352	4.06E-08
GRB151127A   	665268	3.63E-08
GRB151122A   	664653	6.50E-08
GRB151118A   	664078	8.99E-08
GRB151114A   	663490	 N/A 
GRB151112A   	663179	 N/A 
GRB151111A   	663074	 N/A 
GRB151107A   	662757	 N/A 
GRB151031A   	662330	1.03E-07
GRB151029A   	662086	1.08E-07
GRB151027B   	661869	1.50E-08
GRB151027A   	661775	5.82E-07
GRB151023A   	661253	6.30E-08
GRB151022A   	661036	5.60E-08
GRB151021A   	660671	7.66E-07
GRB151006A   	657750	2.13E-07
GRB151004A   	657564	2.15E-08
GRB151001B   	657321	5.19E-08
GRB151001A   	657286	1.13E-07
GRB150925A   	656604	4.74E-08
GRB150915A   	655721	1.01E-08
GRB150911A   	655262	3.56E-07
GRB150910A   	655097	8.28E-08
GRB150907B   	654803	9.61E-08
GRB150901A   	654042	5.05E-09
GRB150831B   	653978	3.80E-07
GRB150831A   	653838	3.52E-07
GRB150821A   	652847	 N/A 
GRB150819A   	652643	1.74E-08
GRB150818A   	652603	1.46E-07
GRB150817A   	652334	9.24E-07
GRB150811A   	651882	3.35E-08
GRB150801B   	650977	1.69E-07
GRB150728A   	650617	3.39E-08
GRB150727A   	650530	9.79E-08
GRB150724A   	650141	6.78E-08
GRB150722A   	649916	2.92E-08
GRB150720A   	649706	4.27E-08
GRB150716A   	649157	5.51E-08
GRB150711A   	648601	2.81E-07
GRB150710B   	84694006	7.58E-07
GRB150710A   	648437	7.91E-08
GRB150626B   	646786	3.56E-08
GRB150626A   	646603	1.15E-07
GRB150616A   	644259	2.05E-07
GRB150615A   	643833	3.77E-08
GRB150607A   	642620	3.81E-07
GRB150530B   	84922008	7.66E-08
GRB150530A   	642018	3.47E-07
GRB150527A   	641698	2.12E-07
GRB150513A   	640584	2.32E-07
GRB150430A   	639433	4.32E-07
GRB150428B   	639278	1.19E-07
GRB150428A   	639275	2.39E-07
GRB150424A   	638946	1.23E-06
GRB150423A   	638808	8.56E-08
GRB150413A   	637899	1.31E-07
GRB150407A   	637342	 N/A 
GRB150403A   	637044	1.71E-06
GRB150402A   	636865000	 N/A 
GRB150323C   	636005	6.53E-08
GRB150323B   	635929	 N/A 
GRB150323A   	635887	3.02E-07
GRB150318A   	635289	6.83E-08
GRB150317A   	635148	1.01E-07
GRB150314A   	634795	3.84E-06
GRB150309A   	634200	8.54E-07
GRB150302A   	633237	3.27E-08
GRB150301B   	633180	2.40E-07
GRB150301A   	632995	7.01E-08
GRB150222A   	632180	3.72E-07
GRB150213B   	631051	4.44E-08
GRB150212A   	630876	1.60E-07
GRB150211A   	630714	1.02E-06
GRB150206A   	630019	8.99E-07
GRB150204A   	84702002	1.40E-07
GRB150203A   	629578	6.27E-08
GRB150202A   	629547	8.81E-08
GRB150201A   	629302	 N/A 
GRB150120B   	627170	7.70E-08
GRB150120A   	627137	1.18E-07
GRB150110B   	624606	1.10E-07
GRB150103A   	623368	2.96E-08
GRB150101B   	91964035	6.06E-08
GRB150101A   	623158	3.05E-08
GRB141229A   	85478004	 N/A 
GRB141225A   	622476	1.34E-07
GRB141221A   	622006	2.72E-07
GRB141220A   	621915	8.23E-07
GRB141212B   	621234	3.51E-07
GRB141212A   	621229	9.27E-08
GRB141205A   	620534	1.07E-07
GRB141130A   	620090	9.61E-08
GRB141121A   	619182	5.77E-08
GRB141109B   	618032	3.01E-08
GRB141109A   	618024	2.10E-07
GRB141102A   	617316	 N/A 
GRB141031B   	617149	3.05E-08
GRB141031A   	617110	4.87E-08
GRB141026A   	616502	3.04E-08
GRB141022A   	616061	8.27E-08
GRB141020A   	615873	5.13E-08
GRB141017A   	615672	5.40E-07
GRB141015A   	615399	3.21E-08
GRB141005A   	614415	3.97E-07
GRB141004A   	614390	4.30E-07
GRB140930B   	614094	4.30E-07
GRB140927A   	613775	5.03E-08
GRB140919A   	613160	1.23E-07
GRB140916A   	612804	9.02E-08
GRB140909A   	612132	 N/A 
GRB140907A   	611933	1.29E-07
GRB140903A   	611599	1.52E-07
GRB140901B   	611389	 N/A 
GRB140828A   	610953	1.55E-07
GRB140824A   	610501	7.60E-08
GRB140818B   	609885	7.69E-08
GRB140817A   	609736	6.41E-07
GRB140730A   	607742	4.09E-08
GRB140719B   	605700	6.17E-08
GRB140719A   	605612	7.58E-09
GRB140716A-2 	604793	 N/A 
GRB140716A-1 	604792	4.89E-07
GRB140713A   	604232	1.49E-07
GRB140710A   	603954	1.05E-07
GRB140709B   	603866	6.54E-08
GRB140709A   	603810	2.43E-07
