## GRBname 	 Trig_ID 	 15_150kev 
GRB131004A   	573190	2.21E-07
GRB131002B   	572742	 N/A 
GRB131002A   	572721	1.04E-07
GRB131001A   	82217006	1.77E-07
GRB130929A   	572308	 N/A 
GRB130925A   	571830	 N/A 
GRB130919A   	571271	4.18E-08
GRB130913A   	570531	1.57E-08
GRB130912A   	570465	1.79E-07
GRB130907A   	569992	2.43E-06
GRB130831B   	568855	1.72E-07
GRB130831A   	568849	9.35E-07
GRB130829A   	568417	4.62E-08
GRB130822A   	567163	1.99E-08
GRB130816B   	566561	6.00E-08
GRB130816A   	566545	8.33E-08
GRB130812A   	566228	 N/A 
GRB130807A   	565651	5.87E-08
GRB130806A   	565562	 N/A 
GRB130803A   	565263	1.19E-07
GRB130727A   	564342	5.11E-07
GRB130725B   	564028	 N/A 
GRB130725A   	563980	5.05E-08
GRB130722A   	563213	4.75E-07
GRB130719A   	562625	4.56E-08
GRB130716A   	561974	9.39E-09
GRB130708A   	560515	1.08E-07
GRB130701A   	559482	1.41E-06
GRB130627B   	559139	1.27E-08
GRB130627A   	559132	1.24E-07
GRB130626A   	559075	7.41E-08
GRB130625A   	558982	8.41E-08
GRB130623A   	32867001	1.00E-07
GRB130615A   	558271	 N/A 
GRB130612A   	557976	7.34E-08
GRB130610A   	557845	1.39E-07
GRB130609B   	557828	8.24E-07
GRB130609A   	557782	 N/A 
GRB130608A   	557771	 N/A 
GRB130606A   	557589	2.33E-07
GRB130605A   	557508	3.61E-07
GRB130604A   	557354	6.29E-08
GRB130603B   	557310	6.34E-07
GRB130603A   	557274	5.67E-08
GRB130529A   	556930	3.03E-08
GRB130528A   	556870	 N/A 
GRB130527A   	556753	2.35E-08
GRB130521A   	556344	 N/A 
GRB130518B   	556105	9.68E-08
GRB130518A   	556113	 N/A 
GRB130515A   	555880	1.35E-07
GRB130514A   	555821	2.16E-07
GRB130511A   	555600	9.69E-08
GRB130508A   	555413	5.08E-08
GRB130505A   	555163	 N/A 
GRB130504A   	555096	5.85E-08
GRB130502A   	554996	1.87E-07
GRB130427B   	554635	1.20E-07
GRB130427A   	554620	3.79E-05
GRB130420B   	553996	1.12E-07
GRB130420A   	553977	2.16E-07
GRB130419A   	553918	4.10E-08
GRB130418A   	553847	 N/A 
GRB130408A   	553132	3.69E-07
GRB130327A   	552063	 N/A 
GRB130315A   	551126	8.46E-08
GRB130313A   	550906	3.58E-08
GRB130306A   	550457	4.93E-07
GRB130305A   	550329	 N/A 
GRB130216B   	548918	 N/A 
GRB130216A   	548927	6.14E-07
GRB130215A   	548760	1.81E-07
GRB130211A   	548276	5.30E-08
GRB130206A   	547918	5.76E-08
GRB130131B   	547420	3.31E-08
GRB130131A   	547407	4.16E-08
GRB130122A   	546731	2.81E-08
GRB130102A   	544784	2.33E-08
GRB121229A   	544347	1.46E-08
GRB121226A   	544027	7.11E-08
GRB121217A   	542441	1.33E-07
GRB121212A   	541371	4.48E-08
GRB121211A   	541200	9.90E-08
GRB121209A   	540964	3.32E-07
GRB121202A   	540255	7.79E-08
GRB121201A   	540178	5.77E-08
GRB121128A   	539866	1.04E-06
GRB121125A   	539563	2.22E-07
GRB121123A   	539358	1.99E-07
GRB121117A   	538696	9.25E-08
GRB121108A   	537921	9.15E-08
GRB121102A   	537266	1.60E-07
GRB121031A   	537195	2.33E-07
GRB121028A   	536897	 N/A 
GRB121027A   	536831	5.12E-08
GRB121024A   	536580	1.26E-07
GRB121017A   	536172	2.18E-07
GRB121014A   	535960	 N/A 
GRB121011A   	535764	1.14E-07
GRB121001A   	535026	3.07E-08
GRB120927A   	534815	1.14E-07
GRB120923A   	534402	3.27E-08
GRB120922A   	534394	 N/A 
GRB120918A   	534015	3.51E-07
GRB120913B   	533613	2.70E-07
GRB120913A   	533568	 N/A 
GRB120911A   	533268	1.71E-07
GRB120909A   	533060	1.39E-08
GRB120907A   	532871	2.28E-07
GRB120819A   	531428	7.74E-08
GRB120817B   	531259	 N/A 
GRB120817A   	531267	6.21E-08
GRB120816A   	531223	1.14E-07
GRB120815A   	531003	 N/A 
GRB120811C   	530689	2.60E-07
GRB120811A   	530581	5.85E-08
GRB120807A   	530267	4.51E-08
GRB120805A   	530031	1.10E-08
GRB120804A   	529686	8.66E-07
GRB120803B   	529606	1.22E-07
GRB120803A   	529582	4.47E-08
GRB120802A   	529486	2.08E-07
GRB120729A   	529095	1.93E-07
GRB120728A   	529021	 N/A 
GRB120724A   	528443	3.65E-08
GRB120722A   	528195	4.35E-08
GRB120714B   	526642	2.02E-08
GRB120714A   	526593	8.99E-08
GRB120712A   	526351	1.99E-07
GRB120711B   	526270	4.41E-08
GRB120703A   	525671	9.64E-07
GRB120701A   	525477	1.64E-07
GRB120630A   	525451	5.82E-08
GRB120624B   	525068	5.11E-07
GRB120612A   	524128	4.50E-08
GRB120521C   	522656	5.36E-08
GRB120521B   	522586	5.74E-08
GRB120521A   	522578	8.38E-08
GRB120514A   	522197	1.68E-07
GRB120422A   	520658	5.33E-08
GRB120404A   	519380	 N/A 
GRB120403B   	519256	7.62E-08
GRB120403A   	519211	7.08E-08
GRB120401A   	519043	4.22E-08
GRB120328A   	518792	3.12E-08
GRB120327A   	518731	3.25E-07
GRB120326A   	518626	2.93E-07
GRB120324A   	518507	5.10E-07
GRB120320A   	518200	4.31E-08
GRB120312A   	517566	 N/A 
GRB120311B   	517489	7.31E-08
GRB120311A   	517469	 N/A 
GRB120308A   	517234	3.96E-08
GRB120305A   	516997	2.02E-07
GRB120302A   	516694	8.10E-08
GRB120229A   	516571	4.10E-08
GRB120224A   	515976	 N/A 
GRB120219A   	515375	1.92E-08
GRB120218A   	515277	 N/A 
GRB120215A   	515015	4.53E-08
GRB120213A   	514767	 N/A 
GRB120212A   	514709	 N/A 
GRB120211A   	514586	3.55E-08
GRB120121A   	512164	5.43E-08
GRB120119A   	512035	8.61E-07
GRB120118B   	512003	 N/A 
GRB120116A   	511866	 N/A 
GRB120114A   	511739	9.33E-08
GRB120106A   	511235	1.18E-07
GRB120102A   	510922	8.76E-07
GRB111229A   	510736	4.82E-08
GRB111228A   	510649	7.95E-07
GRB111225A   	510341	3.47E-08
GRB111215A   	509717	3.88E-08
GRB111212A   	509543	5.74E-08
GRB111210A   	509419	8.25E-08
GRB111209A   	509337	7.59E-08
GRB111208A   	509285	 N/A 
GRB111207A   	509245	9.44E-09
GRB111204A   	509018	 N/A 
GRB111201A   	508800	2.14E-08
GRB111129A   	508712	 N/A 
GRB111126A   	48079001	6.49E-08
GRB111123A   	508319	7.37E-08
GRB111121A   	508161	6.74E-07
GRB111117A   	507901	7.51E-10
GRB111109A   	507342	3.55E-08
GRB111107A   	507185	1.11E-07
GRB111103B   	506903	6.16E-07
GRB111103A   	506902	2.63E-07
GRB111029A   	506519	 N/A 
GRB111026A   	506291	8.18E-08
GRB111022B   	506074	3.41E-08
GRB111022A   	506070	1.57E-07
GRB111020A   	505926	6.86E-08
GRB111018A   	505801	2.28E-08
GRB111016A   	505646	6.70E-08
GRB111008A   	505054	5.35E-07
GRB111005A   	504779	 N/A 
GRB110928A   	504215	6.25E-08
GRB110921A   	503652	4.52E-08
GRB110915A   	503219	2.68E-07
GRB110827A   	501520	3.12E-08
GRB110820A   	501095	2.73E-08
GRB110818A   	500914	1.41E-07
GRB110808A   	458918	3.25E-08
GRB110801A   	458521	 N/A 
GRB110731A   	458448	8.91E-07
GRB110726A   	458059	6.07E-08
GRB110719A   	457553	6.14E-08
GRB110715A   	457330	4.24E-06
GRB110709B   	456967	3.12E-07
GRB110709A   	456939	4.66E-07
GRB110625A   	456073	4.19E-06
GRB110610A   	455155	1.12E-07
GRB110604A   	454779	 N/A 
GRB110530A   	454473	3.67E-08
GRB110521A   	453788	4.52E-08
GRB110520A   	453747	9.93E-08
GRB110519A   	453628	 N/A 
GRB110503A   	452685	2.79E-06
GRB110422A   	451901	2.73E-06
GRB110420B   	451794	5.10E-08
GRB110420A   	451757	9.53E-07
GRB110414A   	451343	9.33E-08
GRB110412A   	451191	1.75E-07
GRB110411A   	451165	8.45E-08
GRB110407A   	450884	4.85E-08
GRB110402A   	450545	3.95E-07
GRB110319B   	449578001	1.07E-07
GRB110319A   	449578	 N/A 
GRB110318B   	449549	5.88E-08
GRB110318A   	449542	6.91E-07
GRB110315A   	449399	1.16E-07
GRB110312A   	449074	5.77E-08
GRB110305A   	448229	8.34E-08
GRB110223B   	446677	5.31E-08
GRB110223A   	446674	4.19E-08
GRB110213A   	445414	7.57E-08
GRB110212A   	445321	8.64E-08
GRB110210A   	445141	1.90E-08
GRB110208A   	445038	3.97E-08
GRB110207A   	444912	1.00E-07
GRB110205A   	444643	2.52E-07
GRB110201A   	444230	1.12E-07
GRB110128A   	443861	6.14E-08
GRB110119A   	442978	2.44E-08
GRB110112A   	442039	2.74E-08
GRB110107A   	90978002	1.47E-07
GRB110106B   	441676	8.90E-08
GRB110106A   	441664	1.11E-07
GRB110102A   	441454	6.78E-07
GRB101225A   	441015	 N/A 
GRB101224A   	440955	7.09E-08
GRB101219B   	440635	1.61E-07
GRB101219A   	440606	4.26E-07
GRB101213A   	440285	1.84E-07
GRB101204A   	439806	 N/A 
GRB101201A   	439596	 N/A 
GRB101129A   	439471	2.27E-08
GRB101117B   	438675	3.36E-07
GRB101114A   	438392	3.95E-08
GRB101030A   	437408	7.36E-08
GRB101024A   	437016	2.43E-07
GRB101023A   	436981	1.86E-06
GRB101020A   	436737	2.90E-08
GRB101017A   	436429	1.54E-07
GRB101011A   	436094	1.05E-07
GRB101008A   	435903	1.35E-07
GRB100928A   	435160	 N/A 
GRB100924A   	434843	3.80E-07
GRB100917A   	434360	 N/A 
GRB100915A   	434178	1.82E-08
